timestamp,task_name,name,index,clocks.current.graphics [MHz],cpu_usage,dram_usage,temperature.memory,clocks.current.sm [MHz],utilization.gpu [%],power.draw [W],pcie.link.gen.current,cpu_power,dram_power,pcie.link.width.current,temperature.gpu,clocks.current.memory [MHz],utilization.memory [%]
2025-10-19 07:31:32.5,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1380 MHz,0.0 %,1.0 %,75,1380 MHz,91 %,312.22 W,4,13.50 W (freq-based estimate),326.16 W (est),16,72,1512 MHz,14 %
2025-10-19 07:31:33.8,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1365 MHz,0.0 %,1.0 %,74,1365 MHz,88 %,279.41 W,4,13.50 W (freq-based estimate),326.16 W (est),16,72,1512 MHz,14 %
2025-10-19 07:31:35.1,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1350 MHz,0.0 %,1.0 %,74,1350 MHz,86 %,311.84 W,4,13.50 W (freq-based estimate),326.16 W (est),16,72,1512 MHz,13 %
2025-10-19 07:31:36.4,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1365 MHz,0.0 %,1.0 %,75,1365 MHz,92 %,299.74 W,4,13.50 W (freq-based estimate),326.16 W (est),16,73,1512 MHz,14 %
2025-10-19 07:31:37.7,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1380 MHz,0.0 %,1.0 %,75,1380 MHz,87 %,305.90 W,4,13.50 W (freq-based estimate),326.16 W (est),16,73,1512 MHz,14 %
2025-10-19 07:31:39.0,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1365 MHz,0.0 %,1.0 %,76,1365 MHz,91 %,315.13 W,4,13.50 W (freq-based estimate),326.16 W (est),16,73,1512 MHz,15 %
2025-10-19 07:31:40.3,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1350 MHz,0.0 %,1.0 %,75,1350 MHz,91 %,310.48 W,4,13.50 W (freq-based estimate),326.16 W (est),16,73,1512 MHz,14 %
2025-10-19 07:31:41.6,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1365 MHz,0.0 %,1.0 %,76,1365 MHz,92 %,303.52 W,4,13.50 W (freq-based estimate),326.16 W (est),16,73,1512 MHz,14 %
2025-10-19 07:31:42.9,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1380 MHz,0.0 %,1.0 %,75,1380 MHz,87 %,281.85 W,4,13.50 W (freq-based estimate),326.16 W (est),16,73,1512 MHz,14 %
2025-10-19 07:31:44.2,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1350 MHz,0.0 %,1.0 %,76,1350 MHz,86 %,322.24 W,4,13.50 W (freq-based estimate),326.16 W (est),16,74,1512 MHz,14 %
2025-10-19 07:31:45.5,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1350 MHz,0.0 %,1.0 %,76,1350 MHz,88 %,287.84 W,4,13.50 W (freq-based estimate),326.16 W (est),16,74,1512 MHz,14 %
2025-10-19 07:31:46.9,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1365 MHz,0.0 %,1.0 %,76,1365 MHz,87 %,325.07 W,4,13.50 W (freq-based estimate),326.16 W (est),16,74,1512 MHz,14 %
2025-10-19 07:31:48.2,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.0 %,76,1410 MHz,29 %,164.58 W,4,13.50 W (freq-based estimate),326.38 W (est),16,70,1512 MHz,6 %
2025-10-19 07:31:49.5,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,1.1 %,76,1395 MHz,49 %,274.98 W,4,13.50 W (freq-based estimate),326.38 W (est),16,71,1512 MHz,10 %
2025-10-19 07:31:50.8,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.1 %,76,1410 MHz,49 %,169.43 W,4,13.50 W (freq-based estimate),326.38 W (est),16,70,1512 MHz,10 %
2025-10-19 07:31:52.1,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,1.1 %,75,1395 MHz,50 %,365.35 W,4,13.50 W (freq-based estimate),326.38 W (est),16,71,1512 MHz,10 %
2025-10-19 07:31:53.4,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.1 %,76,1410 MHz,50 %,164.03 W,4,13.50 W (freq-based estimate),326.38 W (est),16,70,1512 MHz,10 %
2025-10-19 07:31:54.7,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1380 MHz,0.0 %,1.1 %,75,1380 MHz,50 %,309.26 W,4,13.50 W (freq-based estimate),326.38 W (est),16,71,1512 MHz,10 %
2025-10-19 07:31:56.1,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.1 %,75,1410 MHz,49 %,150.11 W,4,13.50 W (freq-based estimate),326.38 W (est),16,70,1512 MHz,10 %
2025-10-19 07:31:57.4,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,1.1 %,74,1395 MHz,49 %,142.52 W,4,13.50 W (freq-based estimate),326.38 W (est),16,71,1512 MHz,10 %
2025-10-19 07:31:58.7,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.1 %,74,1410 MHz,49 %,286.28 W,4,13.50 W (freq-based estimate),326.38 W (est),16,70,1512 MHz,10 %
2025-10-19 07:32:00.0,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.1 %,74,1410 MHz,49 %,297.88 W,4,13.50 W (freq-based estimate),326.38 W (est),16,69,1512 MHz,10 %
2025-10-19 07:32:01.3,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.1 %,75,1410 MHz,50 %,154.76 W,4,13.50 W (freq-based estimate),326.38 W (est),16,69,1512 MHz,10 %
2025-10-19 07:32:02.6,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,1.1 %,74,1395 MHz,49 %,235.98 W,4,13.50 W (freq-based estimate),326.38 W (est),16,69,1512 MHz,10 %
2025-10-19 07:32:03.9,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.1 %,75,1410 MHz,51 %,157.39 W,4,13.50 W (freq-based estimate),326.38 W (est),16,69,1512 MHz,10 %
2025-10-19 07:32:05.2,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,1.1 %,75,1395 MHz,49 %,189.63 W,4,13.50 W (freq-based estimate),326.38 W (est),16,69,1512 MHz,10 %
2025-10-19 07:32:06.5,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.1 %,73,1410 MHz,47 %,159.88 W,4,13.50 W (freq-based estimate),326.38 W (est),16,68,1512 MHz,10 %
2025-10-19 07:32:07.9,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.1 %,73,1410 MHz,38 %,151.56 W,4,13.50 W (freq-based estimate),326.38 W (est),16,68,1512 MHz,8 %
2025-10-19 07:32:09.2,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.1 %,74,1410 MHz,38 %,123.89 W,4,13.50 W (freq-based estimate),326.38 W (est),16,68,1512 MHz,7 %
2025-10-19 07:32:10.5,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.1 %,73,1410 MHz,31 %,145.71 W,4,13.50 W (freq-based estimate),326.38 W (est),16,68,1512 MHz,8 %
2025-10-19 07:32:11.9,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.1 %,73,1410 MHz,8 %,142.36 W,4,13.50 W (freq-based estimate),326.38 W (est),16,67,1512 MHz,2 %
2025-10-19 07:32:13.3,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1380 MHz,0.0 %,1.1 %,73,1380 MHz,47 %,269.52 W,4,13.50 W (freq-based estimate),326.38 W (est),16,69,1512 MHz,9 %
2025-10-19 07:32:14.6,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.1 %,74,1410 MHz,41 %,308.69 W,4,13.50 W (freq-based estimate),326.38 W (est),16,70,1512 MHz,9 %
2025-10-19 07:32:15.9,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.1 %,74,1410 MHz,40 %,160.45 W,4,13.50 W (freq-based estimate),326.38 W (est),16,67,1512 MHz,9 %
