timestamp,task_name,name,index,clocks.current.graphics [MHz],cpu_usage,dram_usage,temperature.memory,clocks.current.sm [MHz],utilization.gpu [%],power.draw [W],pcie.link.gen.current,cpu_power,dram_power,pcie.link.width.current,temperature.gpu,clocks.current.memory [MHz],utilization.memory [%]
2025-10-19 07:27:04.3,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1365 MHz,0.0 %,0.9 %,75,1365 MHz,89 %,322.06 W,4,13.50 W (freq-based estimate),325.94 W (est),16,72,1512 MHz,22 %
2025-10-19 07:27:05.6,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,0.9 %,75,1395 MHz,86 %,217.61 W,4,13.50 W (freq-based estimate),325.94 W (est),16,72,1512 MHz,22 %
2025-10-19 07:27:06.9,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,0.9 %,76,1395 MHz,88 %,243.10 W,4,13.50 W (freq-based estimate),325.94 W (est),16,72,1512 MHz,22 %
2025-10-19 07:27:08.2,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1380 MHz,0.0 %,0.9 %,75,1380 MHz,85 %,262.17 W,4,13.50 W (freq-based estimate),325.94 W (est),16,72,1512 MHz,21 %
2025-10-19 07:27:09.6,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,0.9 %,76,1410 MHz,89 %,310.06 W,4,13.50 W (freq-based estimate),325.94 W (est),16,73,1512 MHz,23 %
2025-10-19 07:27:10.9,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,0.9 %,76,1395 MHz,89 %,248.29 W,4,13.50 W (freq-based estimate),325.94 W (est),16,73,1512 MHz,22 %
2025-10-19 07:27:12.2,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,0.9 %,75,1410 MHz,85 %,272.10 W,4,13.50 W (freq-based estimate),325.94 W (est),16,73,1512 MHz,21 %
2025-10-19 07:27:13.5,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,0.9 %,75,1395 MHz,85 %,278.02 W,4,13.50 W (freq-based estimate),325.94 W (est),16,73,1512 MHz,22 %
2025-10-19 07:27:14.8,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,0.9 %,76,1395 MHz,88 %,316.00 W,4,13.50 W (freq-based estimate),325.94 W (est),16,73,1512 MHz,22 %
2025-10-19 07:27:16.1,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1380 MHz,0.0 %,0.9 %,76,1380 MHz,88 %,261.55 W,4,13.50 W (freq-based estimate),325.94 W (est),16,73,1512 MHz,22 %
2025-10-19 07:27:17.4,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1380 MHz,0.0 %,0.9 %,77,1380 MHz,86 %,316.49 W,4,13.50 W (freq-based estimate),325.94 W (est),16,74,1512 MHz,22 %
2025-10-19 07:27:18.7,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,0.9 %,77,1395 MHz,88 %,308.60 W,4,13.50 W (freq-based estimate),325.94 W (est),16,73,1512 MHz,22 %
