timestamp,task_name,name,index,power.draw [W],temperature.gpu,dram_power,clocks.current.graphics [MHz],clocks.current.memory [MHz],dram_usage,pcie.link.width.current,clocks.current.sm [MHz],cpu_usage,cpu_power,temperature.memory,utilization.memory [%],utilization.gpu [%],pcie.link.gen.current
2025-10-22 15:20:51.7,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,122.30 W,43,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),40,5 %,20 %,4
2025-10-22 15:20:53.0,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,95.88 W,44,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),41,5 %,21 %,4
2025-10-22 15:20:54.3,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,157.94 W,44,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),41,5 %,21 %,4
2025-10-22 15:20:55.6,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,100.31 W,42,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),40,11 %,41 %,4
2025-10-22 15:20:57.0,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,101.18 W,42,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),40,11 %,41 %,4
2025-10-22 15:20:58.3,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,96.22 W,42,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),40,5 %,21 %,4
2025-10-22 15:20:59.6,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,177.29 W,44,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),40,5 %,20 %,4
2025-10-22 15:21:00.9,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,100.58 W,42,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),39,8 %,31 %,4
2025-10-22 15:21:02.2,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,95.29 W,42,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),40,8 %,31 %,4
2025-10-22 15:21:03.5,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,100.91 W,42,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),40,5 %,20 %,4
2025-10-22 15:21:04.8,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,99.11 W,44,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),41,5 %,18 %,4
2025-10-22 15:21:06.3,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,64.50 W,40,250.83 W (est),1095 MHz,1215 MHz,1.1 %,16,1095 MHz,0.0 %,13.50 W (freq-based estimate),38,0 %,0 %,4
