timestamp,task_name,name,index,clocks.current.graphics [MHz],clocks.current.memory [MHz],cpu_usage,dram_power,utilization.memory [%],dram_usage,power.draw [W],pcie.link.gen.current,utilization.gpu [%],cpu_power,temperature.gpu,clocks.current.sm [MHz],temperature.memory,pcie.link.width.current
2025-10-19 07:06:47.1,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,251.32 W (est),9 %,1.4 %,299.78 W,4,27 %,13.50 W (freq-based estimate),52,1410 MHz,47,16
2025-10-19 07:06:48.4,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,251.32 W (est),9 %,1.4 %,130.81 W,4,28 %,13.50 W (freq-based estimate),50,1410 MHz,47,16
2025-10-19 07:06:49.7,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,251.32 W (est),10 %,1.4 %,128.73 W,4,42 %,13.50 W (freq-based estimate),49,1410 MHz,46,16
2025-10-19 07:06:51.0,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,251.32 W (est),10 %,1.4 %,127.25 W,4,42 %,13.50 W (freq-based estimate),48,1410 MHz,46,16
2025-10-19 07:06:52.3,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,251.32 W (est),9 %,1.4 %,122.28 W,4,40 %,13.50 W (freq-based estimate),47,1410 MHz,45,16
2025-10-19 07:06:53.7,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1320 MHz,1215 MHz,0.0 %,251.32 W (est),8 %,1.4 %,104.34 W,4,38 %,13.50 W (freq-based estimate),49,1320 MHz,45,16
2025-10-19 07:06:55.0,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1395 MHz,1215 MHz,0.0 %,251.32 W (est),7 %,1.4 %,117.58 W,4,23 %,13.50 W (freq-based estimate),48,1395 MHz,45,16
2025-10-19 07:06:56.3,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,251.32 W (est),8 %,1.4 %,120.80 W,4,37 %,13.50 W (freq-based estimate),47,1410 MHz,44,16
2025-10-19 07:06:57.6,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1320 MHz,1215 MHz,0.0 %,251.32 W (est),8 %,1.4 %,201.70 W,4,34 %,13.50 W (freq-based estimate),49,1320 MHz,44,16
2025-10-19 07:06:59.0,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1395 MHz,1215 MHz,0.0 %,251.32 W (est),9 %,1.4 %,122.56 W,4,40 %,13.50 W (freq-based estimate),46,1395 MHz,44,16
2025-10-19 07:07:00.3,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1380 MHz,1215 MHz,0.0 %,251.32 W (est),9 %,1.4 %,104.01 W,4,41 %,13.50 W (freq-based estimate),46,1380 MHz,44,16
2025-10-19 07:07:01.6,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,251.32 W (est),7 %,1.4 %,111.56 W,4,22 %,13.50 W (freq-based estimate),47,1410 MHz,44,16
2025-10-19 07:07:03.0,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1350 MHz,1215 MHz,0.0 %,251.32 W (est),9 %,1.4 %,112.88 W,4,40 %,13.50 W (freq-based estimate),47,1350 MHz,44,16
2025-10-19 07:07:04.3,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1395 MHz,1215 MHz,0.0 %,251.32 W (est),9 %,1.4 %,115.22 W,4,40 %,13.50 W (freq-based estimate),46,1395 MHz,44,16
2025-10-19 07:07:05.6,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1395 MHz,1215 MHz,0.0 %,251.32 W (est),8 %,1.4 %,107.57 W,4,37 %,13.50 W (freq-based estimate),46,1395 MHz,44,16
2025-10-19 07:07:06.9,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,251.32 W (est),9 %,1.4 %,131.36 W,4,40 %,13.50 W (freq-based estimate),48,1410 MHz,44,16
2025-10-19 07:07:08.3,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,251.32 W (est),9 %,1.4 %,153.12 W,4,34 %,13.50 W (freq-based estimate),46,1410 MHz,44,16
2025-10-19 07:07:09.6,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,251.32 W (est),8 %,1.4 %,121.95 W,4,27 %,13.50 W (freq-based estimate),46,1410 MHz,44,16
2025-10-19 07:07:10.9,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,251.32 W (est),10 %,1.4 %,124.03 W,4,43 %,13.50 W (freq-based estimate),46,1410 MHz,44,16
2025-10-19 07:07:12.2,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,251.32 W (est),10 %,1.4 %,221.46 W,4,43 %,13.50 W (freq-based estimate),48,1410 MHz,44,16
2025-10-19 07:07:13.5,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,251.32 W (est),8 %,1.4 %,277.80 W,4,26 %,13.50 W (freq-based estimate),47,1410 MHz,44,16
2025-10-19 07:07:14.8,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,251.32 W (est),9 %,1.4 %,123.76 W,4,29 %,13.50 W (freq-based estimate),46,1410 MHz,44,16
2025-10-19 07:07:16.1,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,251.32 W (est),9 %,1.4 %,116.37 W,4,42 %,13.50 W (freq-based estimate),48,1410 MHz,44,16
2025-10-19 07:07:17.5,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,251.32 W (est),8 %,1.4 %,103.36 W,4,32 %,13.50 W (freq-based estimate),45,1410 MHz,44,16
2025-10-19 07:07:18.8,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,251.32 W (est),9 %,1.4 %,114.51 W,4,33 %,13.50 W (freq-based estimate),46,1410 MHz,43,16
2025-10-19 07:07:20.1,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,251.32 W (est),10 %,1.4 %,126.53 W,4,43 %,13.50 W (freq-based estimate),46,1410 MHz,44,16
